# Exact Riemann solution for problem: 4
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 4.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [5.99924e+00, 1.95975e+01, 4.60894e+02]
# Right state [dens,velx,pres]: [5.99242e+00, -6.19633e+00, 4.60950e+01]
# Time: 3.50000e-02
                x              dens              pres              velx              eint              cspd
  5.550000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.650000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.750000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.850000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  5.950000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.050000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.150000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.250000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.350000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.450000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.550000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.650000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.750000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.850000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  6.950000000e-01   1.428234995e+01   1.691646955e+03   8.689774412e+00   2.961079516e+02   1.287712906e+01
  7.050000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.150000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.250000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.350000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.450000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.550000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.650000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.750000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.850000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  7.950000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  8.050000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  8.150000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  8.250000000e-01   3.104260164e+01   1.691646955e+03   8.689774412e+00   1.362359198e+02   8.734535769e+00
  8.350000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  8.450000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  8.550000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  8.650000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  8.750000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  8.850000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  8.950000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.050000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.150000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.250000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.350000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.450000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.550000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.650000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.750000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.850000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
  9.950000000e-01   5.992420000e+00   4.609500000e+01  -6.196330000e+00   1.923054459e+01   3.281631449e+00
